env_id,control_effort,timeToGoal,stayedInGoal,precisionOnGoal
388,0.0,NaN,0.0,2.9708895683288574
389,0.0,NaN,0.0,2.8849923610687256
390,0.0,NaN,0.0,2.8099594116210938
391,0.0,NaN,0.0,2.749173164367676
392,0.0,NaN,0.0,2.7054896354675293
393,0.0,NaN,0.0,2.681036949157715
394,0.0,NaN,0.0,2.67704176902771
395,0.0,NaN,0.0,2.693704605102539
396,0.0,NaN,0.0,2.7301857471466064
397,0.0,NaN,0.0,2.7846872806549072
398,0.0,NaN,0.0,2.854606866836548
399,0.0,NaN,0.0,2.9367473125457764
400,0.0,NaN,0.0,2.5274572372436523
401,0.0,NaN,0.0,2.6268327236175537
402,0.0,NaN,0.0,2.74763822555542
403,0.0,NaN,0.0,2.8842592239379883
404,0.0,NaN,0.0,3.0309205055236816
405,0.0,NaN,0.0,3.101362705230713
406,0.0,NaN,0.0,2.952000617980957
407,0.0,NaN,0.0,2.8099594116210938
408,0.0,NaN,0.0,2.6810364723205566
409,0.0,NaN,0.0,2.570956230163574
410,0.0,NaN,0.0,2.4851150512695312
411,0.0,NaN,0.0,2.4281563758850098
412,0.0,NaN,0.0,2.4034206867218018
413,0.0,NaN,0.0,2.4124293327331543
414,0.0,NaN,0.0,2.454622507095337
415,0.0,NaN,0.0,2.5274579524993896
416,0.0,NaN,0.0,2.119537591934204
417,0.0,NaN,0.0,2.2282776832580566
418,0.0,NaN,0.0,2.3759140968322754
419,0.0,NaN,0.0,2.5534844398498535
420,0.0,NaN,0.0,2.7522449493408203
421,0.0,NaN,0.0,2.9641506671905518
422,0.0,NaN,0.0,3.101362705230713
423,0.0,NaN,0.0,2.884991407394409
424,0.0,NaN,0.0,2.67704176902771
425,0.0,NaN,0.0,2.4851150512695312
426,0.0,NaN,0.0,2.3175315856933594
427,0.0,NaN,0.0,2.1832075119018555
428,0.0,NaN,0.0,2.0909204483032227
429,0.0,NaN,0.0,2.04782772064209
430,0.0,NaN,0.0,2.0576579570770264
431,0.0,NaN,0.0,2.119537591934204
432,0.0,NaN,0.0,1.7145277261734009
433,0.0,NaN,0.0,1.83430814743042
434,0.0,NaN,0.0,2.012389898300171
435,0.0,NaN,0.0,2.233309745788574
436,0.0,NaN,0.0,2.4835236072540283
437,0.0,NaN,0.0,2.7522456645965576
438,0.0,NaN,0.0,3.0309205055236816
439,0.0,NaN,0.0,2.970890998840332
440,0.0,NaN,0.0,2.6937036514282227
441,0.0,NaN,0.0,2.428156614303589
442,0.0,NaN,0.0,2.1832082271575928
443,0.0,NaN,0.0,1.9702138900756836
444,0.0,NaN,0.0,1.8032751083374023
445,0.0,NaN,0.0,1.6979105472564697
446,0.0,NaN,0.0,1.66688871383667
447,0.0,NaN,0.0,1.7145276069641113
448,0.0,NaN,0.0,1.3156036138534546
449,0.0,NaN,0.0,1.4495849609375
450,0.0,NaN,0.0,1.6644909381866455
451,0.0,NaN,0.0,1.9325354099273682
452,0.0,NaN,0.0,2.2333102226257324
453,0.0,NaN,0.0,2.55348539352417
454,0.0,NaN,0.0,2.884261131286621
455,0.0,NaN,0.0,3.0639281272888184
456,0.0,NaN,0.0,2.730186939239502
457,0.0,NaN,0.0,2.403420925140381
458,0.0,NaN,0.0,2.0909206867218018
459,0.0,NaN,0.0,1.8032753467559814
460,0.0,NaN,0.0,1.5568004846572876
461,0.0,NaN,0.0,1.3756471872329712
462,0.0,NaN,0.0,1.2888216972351074
463,0.0,NaN,0.0,1.3156036138534546
464,0.0,NaN,0.0,0.9310664534568787
465,0.0,NaN,0.0,1.0847960710525513
466,0.0,NaN,0.0,1.3460733890533447
467,0.0,NaN,0.0,1.6644905805587769
468,0.0,NaN,0.0,2.012389898300171
469,0.0,NaN,0.0,2.3759138584136963
470,0.0,NaN,0.0,2.74763822555542
471,0.0,NaN,0.0,3.122948169708252
472,0.0,NaN,0.0,2.78468656539917
473,0.0,NaN,0.0,2.412428617477417
474,0.0,NaN,0.0,2.04782772064209
475,0.0,NaN,0.0,1.697910189628601
476,0.0,NaN,0.0,1.3756473064422607
477,0.0,NaN,0.0,1.1068706512451172
478,0.0,NaN,0.0,0.9396940469741821
479,0.0,NaN,0.0,0.9310664534568787
480,0.0,NaN,0.0,0.5902022123336792
481,0.0,NaN,0.0,0.7695786356925964
482,0.0,NaN,0.0,1.0847961902618408
483,0.0,NaN,0.0,1.4495848417282104
484,0.0,NaN,0.0,1.8343082666397095
485,0.0,NaN,0.0,2.2282779216766357
486,0.0,NaN,0.0,2.6268327236175537
487,0.0,NaN,0.0,3.0274906158447266
488,0.0,NaN,0.0,2.8546061515808105
489,0.0,NaN,0.0,2.454622268676758
490,0.0,NaN,0.0,2.0576579570770264
491,0.0,NaN,0.0,1.6668884754180908
492,0.0,NaN,0.0,1.2888216972351074
